,Event,Duration,Start Time,End Time,Start Epoch,End Epoch,Unnamed: 6
479,N3,30.0,02:30.0,03:00.0,1301,1302,
480,N3,30.0,03:00.0,03:30.0,1302,1303,
481,N3,30.0,03:30.0,04:00.0,1303,1304,
482,N3,30.0,04:00.0,04:30.0,1304,1305,
483,N3,30.0,04:30.0,05:00.0,1305,1306,
484,N3,30.0,05:00.0,05:30.0,1306,1307,
485,N3,30.0,05:30.0,06:00.0,1307,1308,
486,N3,30.0,06:00.0,06:30.0,1308,1309,
487,N2,30.0,06:30.0,07:00.0,1309,1310,
488,Wake,30.0,07:00.0,07:30.0,1310,1311,
489,N2,30.0,07:30.0,08:00.0,1311,1312,
490,REM,30.0,08:00.0,08:30.0,1312,1313,
491,REM,30.0,08:30.0,09:00.0,1313,1314,
492,REM,30.0,09:00.0,09:30.0,1314,1315,
493,REM,30.0,09:30.0,10:00.0,1315,1316,
494,Wake,30.0,10:00.0,10:30.0,1316,1317,
495,N1,30.0,10:30.0,11:00.0,1317,1318,
496,N2,30.0,11:00.0,11:30.0,1318,1319,
497,REM,30.0,11:30.0,12:00.0,1319,1320,
498,REM,30.0,12:00.0,12:30.0,1320,1321,
499,REM,30.0,12:30.0,13:00.0,1321,1322,
