Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
N3,30,51:30.0,52:00.0,1039,1040,
N3,30,52:00.0,52:30.0,1040,1041,
N3,30,52:30.0,53:00.0,1041,1042,
N3,30,53:00.0,53:30.0,1042,1043,
LM,3.35,53:28.5,53:31.8,1042,1043,
N3,30,53:30.0,54:00.0,1043,1044,
N3,30,54:00.0,54:30.0,1044,1045,
N3,30,54:30.0,55:00.0,1045,1046,
N3,30,55:00.0,55:30.0,1046,1047,
N3,30,55:30.0,56:00.0,1047,1048,
LM,2.265,55:58.3,56:00.5,1047,1048,
Movement,1.5,55:59.6,56:01.1,1047,1048,
N3,30,56:00.0,56:30.0,1048,1049,
N3,30,56:30.0,57:00.0,1049,1050,
N3,30,57:00.0,57:30.0,1050,1051,
N3,30,57:30.0,58:00.0,1051,1052,
N3,30,58:00.0,58:30.0,1052,1053,
LM,2.635,58:17.1,58:19.7,1052,1052,
LM,2.95,58:17.4,58:20.3,1052,1052,
Movement,1.9,58:17.8,58:19.7,1052,1052,
N3,30,58:30.0,59:00.0,1053,1054,
N3,30,59:00.0,59:30.0,1054,1055,
N3,30,59:30.0,00:00.0,1055,1056,
N3,30,00:00.0,00:30.0,1056,1057,
N3,30,00:30.0,01:00.0,1057,1058,
N3,30,01:00.0,01:30.0,1058,1059,
Wake,30,01:30.0,02:00.0,1059,1060,
Movement,27.549,01:30.5,01:58.1,1059,1059,
LM,3.706,01:40.4,01:44.1,1059,1059,
Snore Train,26.24,01:49.7,02:15.9,1059,1060,
Wake,30,02:00.0,02:30.0,1060,1061,
N2,30,02:30.0,03:00.0,1061,1062,
N2,30,03:00.0,03:30.0,1062,1063,
LM,1.63,03:06.0,03:07.7,1062,1062,
N2,30,03:30.0,04:00.0,1063,1064,
N2,30,04:00.0,04:30.0,1064,1065,
N2,30,04:30.0,05:00.0,1065,1066,
LM,1.745,04:45.8,04:47.6,1065,1065,
Movement,1.15,04:46.3,04:47.5,1065,1065,
N2,30,05:00.0,05:30.0,1066,1067,
N2,30,05:30.0,06:00.0,1067,1068,
LM,1.445,05:35.1,05:36.6,1067,1067,
Movement,26.798,05:35.5,06:02.3,1067,1068,
N2,30,06:00.0,06:30.0,1068,1069,
N2,30,06:30.0,07:00.0,1069,1070,
N2,30,07:00.0,07:30.0,1070,1071,
N2,30,07:30.0,08:00.0,1071,1072,
REM,30,08:00.0,08:30.0,1072,1073,
REM,30,08:30.0,09:00.0,1073,1074,
